province,avg_temp_province,std_temp_province,avg_humidity_province,std_humidity_province,avg_pressure_province,avg_wind_province
Vinh Phuc-Vinh Yen,28.281836434081352,3.4675720703651765,81.0445531778449,12.467718978277565,1006.4066449604989,2.188329649652059
Hai Duong,27.917205967369203,3.182164140981094,80.60778381220514,11.257168446936863,1006.1976815277746,2.9752336631224927
Ca Mau,27.658880665413342,2.888902829106239,78.12170537213471,14.765872909990305,1008.4760906349767,2.8105511778525276
Quang Ninh-Mong Cai,28.046658272345407,2.0894339963729984,77.33141413177155,5.556612321952847,1006.4911264422926,4.220631734408079
Binh Thuan,27.688743295386647,2.9401615581081892,77.86200193153401,13.535259661275063,1007.8034635885615,3.4017037039610805
Dien Bien,24.85136175861633,3.5156628510966463,87.289407367279,15.915289177230628,1007.8770484825391,0.9214204846542696
Lang Son,25.279360568597685,3.5030154471409225,84.75300969833224,12.592726666104383,1007.3581898322752,1.8268975285064042
Ninh Thuan,28.434471871374186,3.162654309615154,74.58825712662058,14.153270853533801,1007.0459306654991,2.6044628245800197
Ninh Binh-Tam Diep,27.560517667410007,3.3526901514412772,81.07560804071015,12.004144410899483,1006.105386502583,2.687872087870391
Nam Dinh,27.825076048554532,3.1929250015242627,80.48013284992874,11.236575637650077,1006.0900728194138,2.9717855651211775
Nghe An-Vinh,27.279447490611652,2.9199316065854632,81.48484495853364,9.884013042527917,1005.9533161604573,3.0760809196411376
Dong Nai-Long Khanh,26.039181054050704,2.6309602474475517,85.47317459429104,10.705433171608565,1008.2039546851934,1.6413455690878445
Ha Tinh-Ha Tinh,27.266298710484236,3.29646559084574,81.20291836974016,12.347035168491386,1005.904023279873,2.539295758372744
Dong Nai-Bien Hoa,28.48949497244784,2.5552118088660842,80.0111692530253,10.790081974037669,1007.6419888896513,2.8255022124694986
Long An,28.004999801008225,2.6963836509639614,79.57762312614699,11.791431606274365,1007.7240217773369,3.245809193347807
Tien Giang,27.837971908701103,2.793776351642121,80.20920685587663,12.82342887790351,1007.8618714145047,2.736885621573263
Vinh Phuc-Phuc Yen,28.322583640270828,3.467703247983602,81.79933349249023,12.71343238068337,1006.3404385641934,2.6657592656362477
Can Tho,27.36616239614441,2.4729242438179515,91.35641815204886,10.851092003445151,1008.1790076109036,2.3459080865530906
Tuyen Quang,27.04345984219276,3.595537878648227,83.68201154076031,14.255464314970716,1006.45675122772,1.0590630111981136
Vinh Long,27.792451104076324,2.5830455335608753,82.56098957336097,11.788142930088053,1008.0784659621053,3.7705709855801928
Thanh Hoa-Sam Son,27.667470126138078,2.5502431073359646,80.82799951252795,7.939754847381787,1005.9905998790022,3.852796793701881
Ninh Binh-Ninh Binh,27.606781654509057,3.3696272779405696,80.95864085801593,12.11895390110282,1006.0944323720367,2.6702820055848044
Tra Vinh,27.644981770742188,2.674730082654589,80.79250074773938,12.603715948332974,1008.0671099851132,3.1407613797799656
Bac Ninh-Tu Son,28.351374091647198,3.4690099394497174,79.48388013342597,12.677826097449996,1006.2671614497164,2.8669875246937995
An Giang-Long Xuyen,28.1075130760955,2.5145482668596393,79.45306125432369,11.677572635860825,1007.988600081946,4.433917145473196
Bac Giang,27.877969102731193,3.3333195250375445,78.89417105532512,12.452395659368783,1006.2061586088848,2.9330264215126514
Ba Ria-Vung Tau-Ba Ria,27.684108038840446,2.2772571324170854,80.84376573328578,9.62209042975534,1007.9627980768412,3.268528941039329
Nghe An-Thai Hoa,26.758466324018027,3.5039644346955696,84.19111959179399,12.953647728548786,1006.2322045817773,2.1304014563597313
Hung Yen-Hung Yen,27.7221585214914,3.3966478874154578,80.96934047902411,12.509836014798438,1006.1499846957761,2.439087251252632
Ha Tinh-Hong Linh,26.999716790535896,3.506500594880878,83.00639218331705,12.313350693025026,1006.003209758573,1.9471921430620824
Phu Tho,27.35963699169823,3.332055276880509,81.10183027693056,12.415521061735207,1006.2211892555869,1.9958087071379145
Binh Duong-Thu Dau Mot,28.102989234799146,2.6257322697811283,83.03236377344442,12.819093404496002,1007.6040370713582,3.5243436165274065
Ha Giang,26.553928729600845,3.6781742089059857,87.85074985264787,14.43441490616536,1007.3320495888553,0.7067169177537449
Binh Duong-Di An,28.32097679512841,2.5559448979711252,79.32759601738118,9.05179927038647,1007.620153127597,3.523907957333992
Ha Noi,28.322555535485204,3.460915884597587,78.76275132050013,12.975667354970444,1006.1607407413694,2.724226570274814
Hoa Binh,26.55433226789568,3.329977181067705,85.11905105012212,12.146266164454776,1006.8140795359262,1.2762992450313124
Quang Ninh-Cam Pha,26.876519226116237,2.9029736997940647,82.69780743938892,10.428735583495287,1006.6158647690628,2.202314017584598
Thanh Hoa-Thanh Hoa,27.131198741699897,3.503920378326077,82.90627407048093,13.013433976903388,1006.029566135101,2.2233437169502954
Son La,23.26669685877425,3.3260112795085437,88.83089232854495,12.195967237779163,1007.856649156977,1.0521175588395901
Quang Binh,27.860668292106908,2.626269796355979,78.75930320971607,10.307404403271175,1006.1502473781624,3.401731595346365
Quang Ngai,27.75885480966413,3.6783637831558247,78.26587176040563,16.34330932415769,1006.3569171793667,2.161363080505463
Kon Tum,23.53104704086019,2.89576644215436,89.28266862350075,11.774782896384743,1008.7917540657043,1.1269495501426203
An Giang-Chau Doc,28.53534704429579,2.6633544673015197,73.39937562161899,13.127667899014945,1007.772669648003,4.19989461130568
Bac Kan,25.305474170395595,3.493372400004204,88.74053129737281,13.647110676123408,1007.6953105297905,0.958626926393154
Bac Lieu,27.883548619725275,2.2010001622251023,78.17739186168596,10.686000464182808,1008.3191054949455,4.538915628816671
Khanh Hoa-Nha Trang,29.113301546926262,2.835156366374099,75.03508782577191,11.864570853059748,1007.0461340781292,2.2092196790562695
Hung Yen-My Hao,27.76543188480893,3.319846914568589,80.79061111377712,12.223637321523709,1006.2096234364457,2.694270017778728
Quang Ninh-Uong Bi,27.75767681373353,2.9654158742323786,81.30886468714175,11.710665887455665,1006.4149418648541,1.8820489984651045
Quang Nam-Hoi An,28.544717383437302,2.979684054690881,78.67428963044773,10.99213640224191,1006.3131876749962,3.522551845300564
Binh Phuoc,26.870009983733087,2.6461588107542076,87.19385015043144,9.198624296958887,1008.0261044355385,1.8683726669062792
Soc Trang,27.65528188963172,2.6619603905983795,80.59456231028956,12.688383109446816,1008.2145356776105,3.554860650993589
Kien Giang-Ha Tien,27.936360944351236,1.8929293088303156,78.09632223265326,8.644026629148156,1008.1641454387723,5.116089716439234
Lao Cai,26.72014377407568,3.488789038632976,87.0255681026933,13.642626777269996,1008.2228236205292,0.9300862817135062
Thai Nguyen-Thai Nguyen,27.22332753098358,3.4006425475845385,82.59335420258735,12.769100102174638,1006.6188958487372,1.618485125499374
Khanh Hoa-Cam Ranh,29.128320885459704,2.8338538814904526,72.44174522905612,13.359543136153102,1007.2952555742452,2.9038748398818575
Cao Bang,25.76847045881848,3.5975281970881965,87.43574474112934,13.25391771191453,1007.6871357061532,1.1231581248506246
TP Ho Chi Minh,28.426346229143594,2.5520009794880676,79.34783302271171,9.024814146215245,1007.4980079838249,3.556221249348973
Thai Nguyen-Song Cong,27.5342912251198,3.353202165734581,81.41445489929458,12.503639890150621,1006.5594117317578,1.9734152949662953
